Month,Borough,CommunityDistrict,RefuseTonsCollected,PaperTonsCollected,MGPTonsCollected,Totaled
2011 / 09,Manhattan,1,1241.24,420.95,216.91,1879.1
2011 / 09,Manhattan,2,2245.23,500.94,269.77,3015.94
2011 / 09,Manhattan,3,3178.24,388.52,257.06,3823.82
2011 / 09,Manhattan,4,2279.71,517.98,335.69,3133.38
2011 / 09,Manhattan,5,1348.82,278.28,152.43,1779.53
2011 / 09,Manhattan,6,3117.88,628.98,385.61,4132.47
2011 / 09,Manhattan,7,5461.86,1232.56,617.15,7311.57
2011 / 09,Manhattan,8,5904.28,1225.57,643.79,7773.64
2011 / 09,Manhattan,9,2717.01,291.66,190.29,3198.96
2011 / 09,Manhattan,10,2962.33,224.69,156.22,3343.24
2011 / 09,Manhattan,11,2329.99,180.59,110.67,2621.25
2011 / 09,Manhattan,12,5281.14,434.96,380.6,6096.7
2011 / 09,Bronx,1,2052.58,91.27,76.03,2219.88
2011 / 09,Bronx,2,1664.38,82.04,97.48,1843.9
2011 / 09,Bronx,3,1917.67,80.88,78.65,2077.2
2011 / 09,Bronx,4,4588.12,169.44,167.9,4925.46
2011 / 09,Bronx,5,3735.12,164.09,207.24,4106.45
2011 / 09,Bronx,6,2328.64,95.04,112.25,2535.93
2011 / 09,Bronx,7,3926.07,237.94,244.82,4408.83
2011 / 09,Bronx,8,2651.04,351.2,237.54,3239.78
2011 / 09,Bronx,9,4510.36,200.64,235.91,4946.91
2011 / 09,Bronx,10,2860.96,378.97,274.43,3514.36
2011 / 09,Bronx,11,3307.65,333.6,251.35,3892.6
2011 / 09,Bronx,12,4185.39,390.3,404.84,4980.53
2011 / 09,Brooklyn,1,4819.68,535.61,372.21,5727.5
2011 / 09,Brooklyn,2,2356.85,472.87,288.6,3118.32
2011 / 09,Brooklyn,3,4323.49,253.98,217.42,4794.89
2011 / 09,Brooklyn,4,3405.96,192.22,231.87,3830.05
2011 / 09,Brooklyn,5,4610.77,242.86,282.65,5136.28
2011 / 09,Brooklyn,6,2444.26,635.78,377.47,3457.51
2011 / 09,Brooklyn,7,3490.23,439.06,307.33,4236.62
2011 / 09,Brooklyn,8,2880.5,237.52,194.48,3312.5
2011 / 09,Brooklyn,9,3310.09,239.63,163.42,3713.14
2011 / 09,Brooklyn,10,3523.83,577.12,321.65,4422.6
2011 / 09,Brooklyn,11,4984.23,698.25,388.23,6070.71
2011 / 09,Brooklyn,12,6184.15,767.46,326.95,7278.56
2011 / 09,Brooklyn,13,2292.82,190.11,165.43,2648.36
2011 / 09,Brooklyn,14,5004.17,477.62,280.94,5762.73
2011 / 09,Brooklyn,15,4790.05,704.89,388.61,5883.55
2011 / 09,Brooklyn,16,1998.63,102.8,104.87,2206.3
2011 / 09,Brooklyn,17,4672.69,323.77,341.74,5338.2
2011 / 09,Brooklyn,18,5975.13,653.01,480.11,7108.25
2011 / 09,Queens,1,4303.89,584.42,439.02,5327.33
2011 / 09,Queens,2,2813.21,376.24,268.12,3457.57
2011 / 09,Queens,3,5020.36,414.94,377.62,5812.92
2011 / 09,Queens,4,4496.98,375.58,287.04,5159.6
2011 / 09,Queens,5,5172,724.31,537.01,6433.32
2011 / 09,Queens,6,2991.34,463.59,276.91,3731.84
2011 / 09,Queens,7,6868.46,929.72,542.06,8340.24
2011 / 09,Queens,8,3930.76,546.35,333.45,4810.56
2011 / 09,Queens,9,4304.94,448.43,367.94,5121.31
2011 / 09,Queens,10,4251.46,448.11,373.9,5073.47
2011 / 09,Queens,11,3369.39,566.36,325.09,4260.84
2011 / 09,Queens,12,7201.87,505.05,583.34,8290.26
2011 / 09,Queens,13,5881.85,593.86,566.46,7042.17
2011 / 09,Queens,14,3758.73,272.92,205.08,4236.73
2011 / 09,Staten Island,1,6305.43,723.06,530.55,7559.04
2011 / 09,Staten Island,2,5155.77,678.55,455.27,6289.59
2011 / 09,Staten Island,3,6424.57,933.83,604.76,7963.16
